UpDown,lag1return,lag2return,lag3return,lag4return,lag5return
0,0.001221996,-0.001234861,0.003810196,-0.001123109,0.016162452
1,-0.000129133,0.001221996,-0.001234861,0.003810196,-0.001123109
0,0.000593618,-0.000129133,0.001221996,-0.001234861,0.003810196
1,-0.004640997,0.000593618,-0.000129133,0.001221996,-0.001234861
0,0.010680574,-0.004640997,0.000593618,-0.000129133,0.001221996
0,-0.010995693,0.010680574,-0.004640997,0.000593618,-0.000129133
1,-0.014373527,-0.010995693,0.010680574,-0.004640997,0.000593618
0,0.020525669,-0.014373527,-0.010995693,0.010680574,-0.004640997
0,-0.006989503,0.020525669,-0.014373527,-0.010995693,0.010680574
0,-0.006489901,-0.006989503,0.020525669,-0.014373527,-0.010995693
1,-0.007738985,-0.006489901,-0.006989503,0.020525669,-0.014373527
0,0.002251387,-0.007738985,-0.006489901,-0.006989503,0.020525669
1,-0.019422767,0.002251387,-0.007738985,-0.006489901,-0.006989503
1,0.00475556,-0.019422767,0.002251387,-0.007738985,-0.006489901
1,0.010618561,0.00475556,-0.019422767,0.002251387,-0.007738985
0,0.014514969,0.010618561,0.00475556,-0.019422767,0.002251387
0,-0.015040521,0.014514969,0.010618561,0.00475556,-0.019422767
1,-0.01779722,-0.015040521,0.014514969,0.010618561,0.00475556
1,0.007778402,-0.01779722,-0.015040521,0.014514969,0.010618561
1,0.008816736,0.007778402,-0.01779722,-0.015040521,0.014514969
0,0.012418068,0.008816736,0.007778402,-0.01779722,-0.015040521
0,-0.001598636,0.012418068,0.008816736,0.007778402,-0.01779722
1,-0.00217856,-0.001598636,0.012418068,0.008816736,0.007778402
0,0.010629763,-0.00217856,-0.001598636,0.012418068,0.008816736
0,-0.007217229,0.010629763,-0.00217856,-0.001598636,0.012418068
0,-0.009411913,-0.007217229,0.010629763,-0.00217856,-0.001598636
1,-0.015303731,-0.009411913,-0.007217229,0.010629763,-0.00217856
0,0.002012226,-0.015303731,-0.009411913,-0.007217229,0.010629763
0,-0.013115397,0.002012226,-0.015303731,-0.009411913,-0.007217229
0,-0.023700443,-0.013115397,0.002012226,-0.015303731,-0.009411913
1,-0.010838375,-0.023700443,-0.013115397,0.002012226,-0.015303731
1,0.000853272,-0.010838375,-0.023700443,-0.013115397,0.002012226
0,0.007802799,0.000853272,-0.010838375,-0.023700443,-0.013115397
1,-0.024965453,0.007802799,0.000853272,-0.010838375,-0.023700443
0,0.016695906,-0.024965453,0.007802799,0.000853272,-0.010838375
1,-0.021599098,0.016695906,-0.024965453,0.007802799,0.000853272
0,0.000531822,-0.021599098,0.016695906,-0.024965453,0.007802799
1,-0.011693855,0.000531822,-0.021599098,0.016695906,-0.024965453
1,0.005195438,-0.011693855,0.000531822,-0.021599098,0.016695906
0,0.020283701,0.005195438,-0.011693855,0.000531822,-0.021599098
1,-0.015637982,0.020283701,0.005195438,-0.011693855,0.000531822
0,0.014144336,-0.015637982,0.020283701,0.005195438,-0.011693855
1,-0.010863484,0.014144336,-0.015637982,0.020283701,0.005195438
1,0.005528577,-0.010863484,0.014144336,-0.015637982,0.020283701
0,0.024760217,0.005528577,-0.010863484,0.014144336,-0.015637982
0,-0.000443236,0.024760217,0.005528577,-0.010863484,0.014144336
1,-0.018743091,-0.000443236,0.024760217,0.005528577,-0.010863484
1,0.004992039,-0.018743091,-0.000443236,0.024760217,0.005528577
0,0.001526733,0.004992039,-0.018743091,-0.000443236,0.024760217
0,-0.018481246,0.001526733,0.004992039,-0.018743091,-0.000443236
0,-0.014153936,-0.018481246,0.001526733,0.004992039,-0.018743091
0,-0.00066362,-0.014153936,-0.018481246,0.001526733,0.004992039
0,-0.000188951,-0.00066362,-0.014153936,-0.018481246,0.001526733
1,-0.012301162,-0.000188951,-0.00066362,-0.014153936,-0.018481246
1,0.019518049,-0.012301162,-0.000188951,-0.00066362,-0.014153936
1,0.016516654,0.019518049,-0.012301162,-0.000188951,-0.00066362
0,0.016480439,0.016516654,0.019518049,-0.012301162,-0.000188951
0,-0.004665714,0.016480439,0.016516654,0.019518049,-0.012301162
1,-2.60331E-05,-0.004665714,0.016480439,0.016516654,0.019518049
0,0.014454197,-2.60331E-05,-0.004665714,0.016480439,0.016516654
1,-0.012454372,0.014454197,-2.60331E-05,-0.004665714,0.016480439
1,0.004439787,-0.012454372,0.014454197,-2.60331E-05,-0.004665714
0,0.011348275,0.004439787,-0.012454372,0.014454197,-2.60331E-05
0,-0.001870114,0.011348275,0.004439787,-0.012454372,0.014454197
1,-0.008120977,-0.001870114,0.011348275,0.004439787,-0.012454372
1,0.023868792,-0.008120977,-0.001870114,0.011348275,0.004439787
1,0.004094308,0.023868792,-0.008120977,-0.001870114,0.011348275
1,0.003498741,0.004094308,0.023868792,-0.008120977,-0.001870114
1,0.003305892,0.003498741,0.004094308,0.023868792,-0.008120977
0,0.000885014,0.003305892,0.003498741,0.004094308,0.023868792
1,-0.011240109,0.000885014,0.003305892,0.003498741,0.004094308
1,0.005052393,-0.011240109,0.000885014,0.003305892,0.003498741
1,0.000155805,0.005052393,-0.011240109,0.000885014,0.003305892
0,0.0163955,0.000155805,0.005052393,-0.011240109,0.000885014
0,-0.001260973,0.0163955,0.000155805,0.005052393,-0.011240109
1,-0.001836942,-0.001260973,0.0163955,0.000155805,0.005052393
1,0.005600352,-0.001836942,-0.001260973,0.0163955,0.000155805
1,0.006595236,0.005600352,-0.001836942,-0.001260973,0.0163955
1,0.004405644,0.006595236,0.005600352,-0.001836942,-0.001260973
0,0.000985577,0.004405644,0.006595236,0.005600352,-0.001836942
0,-0.000877388,0.000985577,0.004405644,0.006595236,0.005600352
0,-0.006386032,-0.000877388,0.000985577,0.004405644,0.006595236
1,-0.000378071,-0.006386032,-0.000877388,0.000985577,0.004405644
1,0.000545256,-0.000378071,-0.006386032,-0.000877388,0.000985577
1,0.008816652,0.000545256,-0.000378071,-0.006386032,-0.000877388
0,0.004350315,0.008816652,0.000545256,-0.000378071,-0.006386032
1,-0.002039759,0.004350315,0.008816652,0.000545256,-0.000378071
0,0.006330915,-0.002039759,0.004350315,0.008816652,0.000545256
0,-0.003208322,0.006330915,-0.002039759,0.004350315,0.008816652
1,-0.010144492,-0.003208322,0.006330915,-0.002039759,0.004350315
0,0.010507619,-0.010144492,-0.003208322,0.006330915,-0.002039759
1,-0.011975787,0.010507619,-0.010144492,-0.003208322,0.006330915
0,0.002786578,-0.011975787,0.010507619,-0.010144492,-0.003208322
1,-0.002739786,0.002786578,-0.011975787,0.010507619,-0.010144492
1,0.009662134,-0.002739786,0.002786578,-0.011975787,0.010507619
1,0.010040137,0.009662134,-0.002739786,0.002786578,-0.011975787
0,0.000172927,0.010040137,0.009662134,-0.002739786,0.002786578
1,-0.000984285,0.000172927,0.010040137,0.009662134,-0.002739786
1,0.006541026,-0.000984285,0.000172927,0.010040137,0.009662134
1,0.003084485,0.006541026,-0.000984285,0.000172927,0.010040137
0,0.000761545,0.003084485,0.006541026,-0.000984285,0.000172927
1,-0.005194027,0.000761545,0.003084485,0.006541026,-0.000984285
0,4.78599E-05,-0.005194027,0.000761545,0.003084485,0.006541026
1,-0.001812046,4.78599E-05,-0.005194027,0.000761545,0.003084485
1,0.001872752,-0.001812046,4.78599E-05,-0.005194027,0.000761545
0,0.001649353,0.001872752,-0.001812046,4.78599E-05,-0.005194027
0,-0.009230768,0.001649353,0.001872752,-0.001812046,4.78599E-05
1,-0.005063088,-0.009230768,0.001649353,0.001872752,-0.001812046
0,0.007809947,-0.005063088,-0.009230768,0.001649353,0.001872752
0,-0.008676638,0.007809947,-0.005063088,-0.009230768,0.001649353
0,-0.005936889,-0.008676638,0.007809947,-0.005063088,-0.009230768
1,-0.000239008,-0.005936889,-0.008676638,0.007809947,-0.005063088
1,0.003174639,-0.000239008,-0.005936889,-0.008676638,0.007809947
1,0.000753497,0.003174639,-0.000239008,-0.005936889,-0.008676638
0,0.012483644,0.000753497,0.003174639,-0.000239008,-0.005936889
0,-0.009561518,0.012483644,0.000753497,0.003174639,-0.000239008
0,-0.000169465,-0.009561518,0.012483644,0.000753497,0.003174639
1,-0.008478289,-0.000169465,-0.009561518,0.012483644,0.000753497
0,0.009796653,-0.008478289,-0.000169465,-0.009561518,0.012483644
1,-0.009411297,0.009796653,-0.008478289,-0.000169465,-0.009561518
0,0.000205179,-0.009411297,0.009796653,-0.008478289,-0.000169465
1,-0.003706708,0.000205179,-0.009411297,0.009796653,-0.008478289
0,0.006019504,-0.003706708,0.000205179,-0.009411297,0.009796653
1,-0.002085459,0.006019504,-0.003706708,0.000205179,-0.009411297
1,0.013681383,-0.002085459,0.006019504,-0.003706708,0.000205179
0,0.00697474,0.013681383,-0.002085459,0.006019504,-0.003706708
1,-0.000210444,0.00697474,0.013681383,-0.002085459,0.006019504
0,0.004286857,-0.000210444,0.00697474,0.013681383,-0.002085459
1,-0.001005263,0.004286857,-0.000210444,0.00697474,0.013681383
1,0.001135042,-0.001005263,0.004286857,-0.000210444,0.00697474
0,0.002824678,0.001135042,-0.001005263,0.004286857,-0.000210444
1,-0.002911815,0.002824678,0.001135042,-0.001005263,0.004286857
1,0.004897281,-0.002911815,0.002824678,0.001135042,-0.001005263
1,0.001289446,0.004897281,-0.002911815,0.002824678,0.001135042
0,0.003309566,0.001289446,0.004897281,-0.002911815,0.002824678
0,-0.001717759,0.003309566,0.001289446,0.004897281,-0.002911815
0,-0.009175181,-0.001717759,0.003309566,0.001289446,0.004897281
0,-0.008115191,-0.009175181,-0.001717759,0.003309566,0.001289446
0,-0.001798886,-0.008115191,-0.009175181,-0.001717759,0.003309566
1,-0.001840713,-0.001798886,-0.008115191,-0.009175181,-0.001717759
0,0.003132991,-0.001840713,-0.001798886,-0.008115191,-0.009175181
1,-0.003257965,0.003132991,-0.001840713,-0.001798886,-0.008115191
1,0.005808185,-0.003257965,0.003132991,-0.001840713,-0.001798886
0,0.002712061,0.005808185,-0.003257965,0.003132991,-0.001840713
